ref_cat,x_coord,y_coord
0273910DF2707C,2.04513233383143,41.3418520744898
0273911DF2707C,2.04534788054169,41.3420941838908
0274102DF2707C,2.04536584199546,41.3425420076315
0274105DF2707C,2.04508966947084,41.3421953581623
0274106DF2707C,2.04497036173154,41.3420988882169
0274107DF2707C,2.04493815387742,41.3420536733076
0274109DF2707C,2.04493217567881,41.3422337745016
0274110DF2707C,2.04493415588307,41.3423272892013
0277402DF2707A,2.04607634954122,41.3396383729423
0277404DF2707A,2.04626198123488,41.3394648948693
0277405DF2707A,2.04607392738806,41.3391409562362
0277406DF2707A,2.04594307908014,41.3390575426173
0277407DF2707A,2.04561050416592,41.339120360029
0277408DF2707A,2.04550682571658,41.3392143496402
0277410DF2707A,2.0452041406047,41.3394972879318
0277411DF2707A,2.04532599079227,41.339574862914
0277412DF2707A,2.04536981881758,41.3396017987305
0277416DF2707A,2.04564248179522,41.3397706997093
0369302DF2706G,2.04634268853494,41.3384959013945
0369304DF2706G,2.04601144477642,41.3388444503664
8488403DF1788D,2.02903693997658,41.3512599788005
8488404DF1788D,2.02894277601756,41.3510808353505
8488405DF1788D,2.02877212514443,41.3509970665004
8488406DF1788D,2.02856616653318,41.3509002086744
8881601DF1788B,2.02954901666177,41.3493702864582
8881602DF1788B,2.02963179602755,41.3492212794411
8881603DF1788B,2.02966737834014,41.3490307100265
8881604DF1788B,2.02970836437046,41.3488626148924
8881605DF1788B,2.02975078458969,41.3487186719974
8881606DF1788B,2.02966698174018,41.3487193165494
8881607DF1788B,2.02954844253056,41.3487086789399
8881608DF1788B,2.02945321670728,41.3487058041485
8881609DF1788B,2.02927318285164,41.3486666342129
8881610DF1788B,2.02906369893122,41.3486465817075
8881611DF1788B,2.028913077797,41.3486069387589
8881612DF1788B,2.02888484030008,41.3487374897392
8881613DF1788B,2.02881824082738,41.3490283211331
8881614DF1788B,2.02877774216307,41.349243889704
8881615DF1788B,2.02886441857049,41.3492510165214
8881616DF1788B,2.02894250830105,41.3492568097653
8881619DF1788B,2.02922098520986,41.349323833266
8881620DF1788B,2.02944869552238,41.3493562894383
8882601DF1788D,2.02940621205154,41.3501240927341
8882602DF1788D,2.02940903725421,41.3500948421129
8882603DF1788D,2.02944004211827,41.3499871934809
8882604DF1788D,2.02946105719912,41.3499324248251
8882605DF1788D,2.02946877998952,41.3498792554938
8882606DF1788D,2.02948617279351,41.3498188716192
8882610DF1788B,2.0294821401356,41.3494787135198
8882611DF1788B,2.02938340074242,41.3494869783662
8882613DF1788B,2.02920829633052,41.3494537948708
8882614DF1788B,2.02913838456423,41.3494446479408
8882616DF1788B,2.02899801743539,41.3494307630532
8882617DF1788B,2.0288963963312,41.3494157637558
8882618DF1788B,2.02881088277827,41.3494108085814
8882619DF1788B,2.0287213097738,41.3493814086925
8882621DF1788B,2.02866835549439,41.3496387570678
8882625DF1788D,2.02859929463596,41.3499181279565
8882626DF1788D,2.02858092241525,41.3499880514006
8882627DF1788D,2.02870276783826,41.3500659140347
8882628DF1788D,2.02875852007107,41.3500707081926
8882629DF1788D,2.02881518297221,41.3500785725666
8882630DF1788D,2.02889948384408,41.3500927952546
8882632DF1788D,2.02906673976665,41.3501152841256
8882633DF1788D,2.02915917489787,41.3501291248762
8883801DF1788D,2.02848393673103,41.3503848247171
8883802DF1788D,2.02932784269625,41.3504669786422
8883803DF1788D,2.02936812769949,41.350289870239
8883805DF1788D,2.02918743751467,41.3502624044125
8883806DF1788D,2.02910209855447,41.3502536677659
8883901DF1788D,2.02895996404041,41.3509377607955
8883902DF1788D,2.02877117377603,41.3508439306075
8883903DF1788D,2.02845725121255,41.3507324699249
8884304DF1788D,2.02905024222792,41.3520460872631
8884305DF1788D,2.02896469724454,41.3519384462054
8884306DF1788D,2.0289187045811,41.3518881564496
8884601DF1788D,2.02919605487175,41.3519754374217
8884602DF1788D,2.02914562669293,41.3519098876296
8884605DF1788D,2.02901338852332,41.3514451548647
8884606DF1788D,2.0289262112735,41.3514715319053
8885603DF1788F,2.02852429075332,41.3527599981142
8978401DF1787H,2.0300623647701,41.3464908547151
8978402DF1787H,2.02951790507381,41.3461367724649
8978403DF1787H,2.02946823109035,41.3463104690861
8979301DF1787H,2.02996972096982,41.3478201253694
8979302DF1787H,2.03003382632456,41.3475197242331
8979303DF1787H,2.03005777239684,41.3474767800067
8979305DF1787H,2.02975894051312,41.3471388206477
8979306DF1787H,,
8979307DF1787H,,
8979309DF1787H,,
8979310DF1787H,,
8979311DF1787H,,
8979312DF1787H,,
8979313DF1787H,,
8979314DF1787H,,
8979504DF1787H,,
8979702DF1787H,,
8979703DF1787H,,
